rank_by_gap_then_f1,family,notebook,method_group,model_name,method,accuracy,macro_f1,worst_gap,macro_gap,overall_flip_rate,model_dir,summary_source
1,challenger,c01,other,bert_gdro_eta01_2ep,,0.5459165154264973,0.5621909567120867,0.2764705882352941,0.1305237193002623,,models/challengers/bert_gdro_eta01_2ep,figures/challengers/c01_groupdro_tuning_summary.csv
2,challenger,c01,other,bert_gdro_eta005_2ep,,0.5747731397459165,0.5901271899385397,0.288235294117647,0.1218049116811898,,models/challengers/bert_gdro_eta005_2ep,figures/challengers/c01_groupdro_tuning_summary.csv
3,challenger,c06,weighted_sampler,weighted_sampler_citypow15_2ep,Weighted Sampler (city_group) + Plain CE,0.5609800362976407,0.5609254778980721,0.288235294117647,0.1071853950474154,,notebooks/models/challengers/weighted_sampler_citypow15_2ep,figures/challengers/c06_weighted_sampler_tuning_summary.csv
4,challenger,c02,focal,focal_gamma20_3ep,Focal Loss + sqrt_rw,0.6061705989110708,0.6154713000093408,0.3,0.1458787929494712,,models/challengers/focal_gamma20_3ep,figures/challengers/c02_focal_gamma_tuning_summary.csv
5,challenger,c07,rdrop,rdrop_alpha10_2ep,R-Drop + sqrt_rw,0.6067150635208711,0.6200736985847453,0.3117647058823529,0.1268109708476176,,notebooks/models/challengers/rdrop_alpha10_2ep,figures/challengers/c07_rdrop_tuning_summary.csv
6,challenger,c02,focal,focal_gamma15_3ep,Focal Loss + sqrt_rw,0.6063520871143375,0.6127601075298852,0.3117647058823529,0.1388057323857813,,models/challengers/focal_gamma15_3ep,figures/challengers/c02_focal_gamma_tuning_summary.csv
7,challenger,c03,other,ls_gdro_eps01_eta01_3ep,Label Smoothing + GroupDRO + sqrt_rw,0.5740471869328494,0.5870647730209027,0.3117647058823529,0.1194778927886587,,models/challengers/ls_gdro_eps01_eta01_3ep,figures/challengers/c03_label_smoothing_groupdro_summary.csv
8,challenger,c03,label_smoothing,label_smoothing_eps01_2ep,Label Smoothing + sqrt_rw,0.6083484573502722,0.6229579754516105,0.3176470588235294,0.1357876464916925,,notebooks/models/challengers/label_smoothing_eps01_2ep,figures/challengers/c03_label_smoothing_tuning_summary.csv
9,challenger,c03,label_smoothing,label_smoothing_eps005_2ep,Label Smoothing + sqrt_rw,0.6052631578947368,0.6198089455585276,0.3235294117647058,0.1276933132548578,,notebooks/models/challengers/label_smoothing_eps005_2ep,figures/challengers/c03_label_smoothing_tuning_summary.csv
10,challenger,c02,focal,focal_gamma1_2ep,Focal Loss + sqrt_rw,0.6041742286751361,0.6191096286531808,0.3235294117647058,0.1336767887659292,,notebooks/models/challengers/focal_gamma1_2ep,figures/challengers/c02_focal_tuning_summary.csv
