rank_flip_then_swap_f1,rank_fairest_gap_then_f1,rank_standard_macro_f1,delta_rank_flip_minus_gap_rank,source_run,track,family,model_name,display_name,status,accuracy,macro_f1,worst_gap,macro_gap,swap_accuracy,swap_macro_f1,delta_swap_f1_minus_standard,delta_swap_acc_minus_standard,overall_flip_rate,max_city_flip_rate,min_city_flip_rate,balance_robust_quality,uses_scrubbing,error,run_name,expected_track,family_from_swap,model_dir,model_path,family_group,display_name_c71,method
,,,,70_batch,,,6_adversarial,6_adversarial,error,,,,,,,,,,,,,,failed to load,6_adversarial,main,,,,,,
,,,,70_batch,,,8_attribution_reg,8_attribution_reg,error,,,,,,,,,,,,,,failed to load,8_attribution_reg,main,,,,,,
1.0,3.0,8.0,-2.0,70_batch,main,scrubbing,bert_scrubbing,Data Scrubbing,ok,0.5941923774954628,0.6105665172611873,0.3,0.112077201852525,0.5941923774954628,0.6106395818352593,7.306457407207922e-05,0.0,0.0,0.0,0.0,0.9582990929839278,True,,3_scrubbing,main,,bert_scrubbing,,scrubbing,Data Scrubbing,Data Scrubbing + sqrt_rw
2.0,,10.0,,70_batch,main,combined,combined_scrubbing_groupdro,Combined Best,ok,0.5764065335753176,0.5971173664042575,,,0.5764065335753176,0.5971173664042575,0.0,0.0,0.0,0.0,0.0,0.9125229418187923,True,,10_combined_best,main,,combined_scrubbing_groupdro,,combined,Combined Best,Combined Best
3.0,12.0,13.0,-9.0,70_batch,main,combined,bert_debiased_combo,Combined Scrub + GroupDRO,ok,0.4882032667876588,0.4807757968361364,0.4058823529411764,0.1377640289446923,0.4865698729582577,0.47525862669979535,-0.005517170136341065,-0.0016333938294010864,0.0,0.0,0.0,0.5,True,,9_combined_scrub_gdro,main,,bert_debiased_combo,,combined,Combined Scrub + GroupDRO,sqrt_reweight + oversampling + GroupDRO
4.0,11.0,3.0,-7.0,c10_challengers,challenger,class_balanced,class_balanced_cbce_beta099_2ep,class_balanced_cbce_beta099_2ep,ok,0.6068965517241379,0.6207870115762675,0.3882352941176471,0.1372489536973299,0.6068965517241379,0.6207870115762675,0.0,0.0,0.0577132486388384,0.0328493647912885,0.0137931034482758,0.7434344321398391,,,class_balanced_cbce_beta099_2ep,challenger,class_balanced,,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/class_balanced_cbce_beta099_2ep,class_balanced,class_balanced_cbce_beta099_2ep,Class-Balanced CE + sqrt_rw
5.0,,,,72_restored,,adversarial,restored_adversarial,restored_adversarial,ok,,,,,0.574410163339383,0.5942314793308253,,,0.0618874773139745,,,0.635512098062196,,,restored_adversarial,main,adversarial,,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/results/two-models-restore/restored_models/adversarial,,,
6.0,4.0,4.0,2.0,c10_challengers,challenger,rdrop,rdrop_alpha10_2ep,rdrop_alpha10_2ep,ok,0.6067150635208711,0.6200736985847453,0.3117647058823529,0.1268109708476176,0.6067150635208711,0.6200736985847453,0.0,0.0,0.0620689655172413,0.0393829401088929,0.0137931034482758,0.7222109081407442,,,rdrop_alpha10_2ep,challenger,rdrop,,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/challengers/rdrop_alpha10_2ep,rdrop,rdrop_alpha10_2ep,R-Drop + sqrt_rw
7.0,,,,72_restored,,attr_reg,restored_attr_reg,restored_attr_reg,ok,,,,,0.5833030852994555,0.6011648284423201,,,0.0631578947368421,,,0.6534973613228513,,,restored_attr_reg,main,attr_reg,,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/results/two-models-restore/restored_models/attr_reg,,,
8.0,8.0,6.0,0.0,70_batch,main,focal,bert_focal_loss,Focal Loss,ok,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.5925589836660617,0.6134318484078286,0.0,0.0,0.06896551724137931,0.041742286751361164,0.019237749546279492,0.6699459855071067,False,,5_focal_loss,main,,bert_focal_loss,,focal,Focal Loss,Focal Loss gamma=2.0 + sqrt_rw
