family,n,best_flip,median_flip,best_swap_f1,median_standard_f1,median_gap
adversarial,1,0.0618874773139745,0.0618874773139745,0.5942314793308253,,
attr_reg,1,0.0631578947368421,0.0631578947368421,0.6011648284423201,,
baseline,1,0.07713248638838476,0.07713248638838476,0.6206270877990566,0.621,0.329
class_balanced,1,0.0577132486388384,0.0577132486388384,0.6207870115762675,0.6207870115762675,0.3882352941176471
combined,2,0.0,0.0,0.5971173664042575,0.5389465816201969,0.4058823529411764
focal,2,0.06896551724137931,0.07785843920145191,0.6191096286531808,0.6162707385305046,0.32647058823529407
groupdro,2,0.0874773139745916,0.10163339382940106,0.5901271899385397,0.571316471014987,0.276470588235294
label_smoothing,2,0.0891107078039927,0.0981851179673321,0.6229579754516105,0.615506260783764,0.3235294117647059
oversampling,1,0.10036297640653358,0.10036297640653358,0.611462531934235,0.611462531934235,0.3583333333333333
rdrop,1,0.0620689655172413,0.0620689655172413,0.6200736985847453,0.6200736985847453,0.3117647058823529
scrubbing,1,0.0,0.0,0.6106395818352593,0.6105665172611873,0.3
