model_name,display_name,source_run,rank_flip_then_swap_f1,rank_fairest_gap_then_f1,delta_rank_flip_minus_gap_rank,overall_flip_rate,worst_gap,macro_f1,swap_macro_f1
bert_gdro_eta01_2ep,GroupDRO η=0.1,70_batch,15.0,1.0,14.0,0.11578947368421053,0.2647058823529411,0.552505752091434,0.552505752091434
bert_debiased_combo,Combined Scrub + GroupDRO,70_batch,3.0,12.0,-9.0,0.0,0.4058823529411764,0.4807757968361364,0.47525862669979535
bert_gdro_eta005_2ep,bert_gdro_eta005_2ep,c10_challengers,11.0,2.0,9.0,0.0874773139745916,0.288235294117647,0.5901271899385397,0.5901271899385397
class_balanced_cbce_beta099_2ep,class_balanced_cbce_beta099_2ep,c10_challengers,4.0,11.0,-7.0,0.0577132486388384,0.3882352941176471,0.6207870115762675,0.6207870115762675
label_smoothing_eps01_2ep,label_smoothing_eps01_2ep,c10_challengers,12.0,5.0,7.0,0.0891107078039927,0.3176470588235294,0.6229579754516105,0.6229579754516105
bert_label_smoothing,Label Smoothing,70_batch,14.0,9.0,5.0,0.10725952813067151,0.3294117647058824,0.6080545461159175,0.6080545461159175
focal_gamma1_2ep,focal_gamma1_2ep,c10_challengers,10.0,6.0,4.0,0.0867513611615245,0.3235294117647058,0.6191096286531808,0.6191096286531808
bert_oversample_only,Oversampling,70_batch,13.0,10.0,3.0,0.10036297640653358,0.3583333333333333,0.611462531934235,0.611462531934235
bert_scrubbing,Data Scrubbing,70_batch,1.0,3.0,-2.0,0.0,0.3,0.6105665172611873,0.6106395818352593
rdrop_alpha10_2ep,rdrop_alpha10_2ep,c10_challengers,6.0,4.0,2.0,0.0620689655172413,0.3117647058823529,0.6200736985847453,0.6200736985847453
bert_9classes_final,Baseline,70_batch,9.0,7.0,2.0,0.07713248638838476,0.329,0.621,0.6206270877990566
bert_focal_loss,Focal Loss,70_batch,8.0,8.0,0.0,0.06896551724137931,0.3294117647058824,0.6134318484078286,0.6134318484078286
