source_run,family,model_name,display_name,status,rank_flip_then_swap_f1,rank_fairest_gap_then_f1,accuracy,macro_f1,swap_accuracy,swap_macro_f1,delta_swap_f1_minus_standard,overall_flip_rate,worst_gap,macro_gap,balance_robust_quality
70_batch,,6_adversarial,6_adversarial,error,,,,,,,,,,,
70_batch,,8_attribution_reg,8_attribution_reg,error,,,,,,,,,,,
70_batch,scrubbing,bert_scrubbing,Data Scrubbing,ok,1.0,3.0,0.5941923774954628,0.6105665172611873,0.5941923774954628,0.6106395818352593,7.306457407207922e-05,0.0,0.3,0.112077201852525,0.9582990929839278
70_batch,combined,combined_scrubbing_groupdro,Combined Best,ok,2.0,,0.5764065335753176,0.5971173664042575,0.5764065335753176,0.5971173664042575,0.0,0.0,,,0.9125229418187923
70_batch,combined,bert_debiased_combo,Combined Scrub + GroupDRO,ok,3.0,12.0,0.4882032667876588,0.4807757968361364,0.4865698729582577,0.47525862669979535,-0.005517170136341065,0.0,0.4058823529411764,0.1377640289446923,0.5
c10_challengers,class_balanced,class_balanced_cbce_beta099_2ep,class_balanced_cbce_beta099_2ep,ok,4.0,11.0,0.6068965517241379,0.6207870115762675,0.6068965517241379,0.6207870115762675,0.0,0.0577132486388384,0.3882352941176471,0.1372489536973299,0.7434344321398391
72_restored,adversarial,restored_adversarial,restored_adversarial,ok,5.0,,,,0.574410163339383,0.5942314793308253,,0.0618874773139745,,,0.635512098062196
c10_challengers,rdrop,rdrop_alpha10_2ep,rdrop_alpha10_2ep,ok,6.0,4.0,0.6067150635208711,0.6200736985847453,0.6067150635208711,0.6200736985847453,0.0,0.0620689655172413,0.3117647058823529,0.1268109708476176,0.7222109081407442
72_restored,attr_reg,restored_attr_reg,restored_attr_reg,ok,7.0,,,,0.5833030852994555,0.6011648284423201,,0.0631578947368421,,,0.6534973613228513
70_batch,focal,bert_focal_loss,Focal Loss,ok,8.0,8.0,0.5925589836660617,0.6134318484078286,0.5925589836660617,0.6134318484078286,0.0,0.06896551724137931,0.3294117647058824,0.1356819274341358,0.6699459855071067
70_batch,baseline,bert_9classes_final,Baseline,ok,9.0,7.0,0.609,0.621,0.608529945553539,0.6206270877990566,-0.00037291220094337607,0.07713248638838476,0.329,0.116,0.6590372499565578
c10_challengers,focal,focal_gamma1_2ep,focal_gamma1_2ep,ok,10.0,6.0,0.6041742286751361,0.6191096286531808,0.6041742286751361,0.6191096286531808,0.0,0.0867513611615245,0.3235294117647058,0.1336767887659292,0.612364213216656
c10_challengers,groupdro,bert_gdro_eta005_2ep,bert_gdro_eta005_2ep,ok,11.0,2.0,0.5747731397459165,0.5901271899385397,0.5747731397459165,0.5901271899385397,0.0,0.0874773139745916,0.288235294117647,0.1218049116811898,0.5111164633352068
c10_challengers,label_smoothing,label_smoothing_eps01_2ep,label_smoothing_eps01_2ep,ok,12.0,5.0,0.6083484573502722,0.6229579754516105,0.6083484573502722,0.6229579754516105,0.0,0.0891107078039927,0.3176470588235294,0.1357876464916925,0.615203761755424
70_batch,oversampling,bert_oversample_only,Oversampling,ok,13.0,10.0,0.6005444646098004,0.611462531934235,0.6005444646098004,0.611462531934235,0.0,0.10036297640653358,0.3583333333333333,0.1348910006569772,0.5276994092168859
70_batch,label_smoothing,bert_label_smoothing,Label Smoothing,ok,14.0,9.0,0.5961887477313974,0.6080545461159175,0.5961887477313974,0.6080545461159175,0.0,0.10725952813067151,0.3294117647058824,0.139536811744611,0.4863819429732262
70_batch,groupdro,bert_gdro_eta01_2ep,GroupDRO η=0.1,ok,15.0,1.0,0.5477313974591651,0.552505752091434,0.5477313974591651,0.552505752091434,0.0,0.11578947368421053,0.2647058823529411,0.1129547238136067,0.26150123898715555
