rank_flip_then_f1,rank_gap_then_f1,source_run,track,family,model_name,display_name,status,accuracy,macro_f1,worst_gap,macro_gap,swap_accuracy,swap_macro_f1,overall_flip_rate,max_city_flip_rate,min_city_flip_rate,uses_scrubbing,error
6,6,70_batch,,,6_adversarial,6_adversarial,error,,,,,,,,,,,failed to load
8,8,70_batch,,,8_attribution_reg,8_attribution_reg,error,,,,,,,,,,,failed to load
3,3,70_batch,main,scrubbing,bert_scrubbing,Data Scrubbing,ok,0.5941923774954628,0.6105665172611873,0.3,0.112077201852525,0.5941923774954628,0.6106395818352593,0.0,0.0,0.0,True,
10,10,70_batch,main,combined,combined_scrubbing_groupdro,Combined Best,ok,0.5764065335753176,0.5971173664042575,,,0.5764065335753176,0.5971173664042575,0.0,0.0,0.0,True,
9,9,70_batch,main,combined,bert_debiased_combo,Combined Scrub + GroupDRO,ok,0.4882032667876588,0.4807757968361364,0.4058823529411764,0.1377640289446923,0.4865698729582577,0.47525862669979535,0.0,0.0,0.0,True,
13,13,c10_challengers,challenger,class_balanced,class_balanced_cbce_beta099_2ep,class_balanced_cbce_beta099_2ep,ok,0.6068965517241379,0.6207870115762675,0.3882352941176471,0.1372489536973299,0.6068965517241379,0.6207870115762675,0.0577132486388384,0.0328493647912885,0.0137931034482758,,
16,16,72_restored,,adversarial,restored_adversarial,restored_adversarial,ok,,,,,0.574410163339383,0.5942314793308253,0.0618874773139745,,,,
12,12,c10_challengers,challenger,rdrop,rdrop_alpha10_2ep,rdrop_alpha10_2ep,ok,0.6067150635208711,0.6200736985847453,0.3117647058823529,0.1268109708476176,0.6067150635208711,0.6200736985847453,0.0620689655172413,0.0393829401088929,0.0137931034482758,,
17,17,72_restored,,attr_reg,restored_attr_reg,restored_attr_reg,ok,,,,,0.5833030852994555,0.6011648284423201,0.0631578947368421,,,,
5,5,70_batch,main,focal,bert_focal_loss,Focal Loss,ok,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.5925589836660617,0.6134318484078286,0.06896551724137931,0.041742286751361164,0.019237749546279492,False,
1,1,70_batch,main,baseline,bert_9classes_final,Baseline,ok,0.609,0.621,0.329,0.116,0.608529945553539,0.6206270877990566,0.07713248638838476,0.04573502722323049,0.019963702359346643,False,
15,15,c10_challengers,challenger,focal,focal_gamma1_2ep,focal_gamma1_2ep,ok,0.6041742286751361,0.6191096286531808,0.3235294117647058,0.1336767887659292,0.6041742286751361,0.6191096286531808,0.0867513611615245,0.0491833030852994,0.0203266787658802,,
14,14,c10_challengers,challenger,groupdro,bert_gdro_eta005_2ep,bert_gdro_eta005_2ep,ok,0.5747731397459165,0.5901271899385397,0.288235294117647,0.1218049116811898,0.5747731397459165,0.5901271899385397,0.0874773139745916,0.0482758620689655,0.0159709618874773,,
11,11,c10_challengers,challenger,label_smoothing,label_smoothing_eps01_2ep,label_smoothing_eps01_2ep,ok,0.6083484573502722,0.6229579754516105,0.3176470588235294,0.1357876464916925,0.6083484573502722,0.6229579754516105,0.0891107078039927,0.0508166969147005,0.0214156079854809,,
4,4,70_batch,main,oversampling,bert_oversample_only,Oversampling,ok,0.6005444646098004,0.611462531934235,0.3583333333333333,0.1348910006569772,0.6005444646098004,0.611462531934235,0.10036297640653358,0.0633393829401089,0.025952813067150634,False,
7,7,70_batch,main,label_smoothing,bert_label_smoothing,Label Smoothing,ok,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,0.5961887477313974,0.6080545461159175,0.10725952813067151,0.08021778584392014,0.020871143375680582,False,
2,2,70_batch,main,groupdro,bert_gdro_eta01_2ep,GroupDRO η=0.1,ok,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,0.5477313974591651,0.552505752091434,0.11578947368421053,0.07295825771324864,0.02631578947368421,False,
