label,fraction
системный администратор,0.14304900181488203
инженер,0.04747731397459165
аналитик,0.03321234119782214
руководитель проекта,0.03237749546279492
менеджер проект,0.030526315789473683
руководитель проект,0.03012704174228675
специалист технической поддержк,0.02852994555353902
программист,0.022250453720508167
технический специалист,0.020653357531760435
менеджер проекта,0.019491833030852994
инженер-программист,0.0188021778584392
специалист по it,0.018439201451905626
менеджер,0.018330308529945553
менеджер интернет-магазина,0.017023593466424684
специалист,0.015571687840290381
оператор,0.01513611615245009
сервисный инженер,0.014083484573502723
менеджер по продажам,0.013756805807622504
интернет-маркетолог,0.013357531760435571
it-специалист,0.011687840290381125
региональный менеджер по продажам,0.011506352087114338
инженер технической поддержк,0.011070780399274047
frontend-разработчик,0.010635208711433758
программист-разработчик,0.010526315789473684
контент-менеджер,0.010381125226860254
