resume_text,count
опыт работы 2 года 9 месяцев сентябрь 2016 — по настоящее время 2 года 9 месяцев,23
опыт работы 3 года 10 месяцев август 2015 — по настоящее время 3 года 10 месяцев,19
опыт работы 2 года 8 месяцев октябрь 2016 — по настоящее время 2 года 8 месяцев ,18
опыт работы 4 года 10 месяцев август 2014 — по настоящее время 4 года 10 месяцев,17
опыт работы 3 года 9 месяцев сентябрь 2015 — по настоящее время 3 года 9 месяцев,15
опыт работы 11 лет 9 месяцев сентябрь 2007 — по настоящее время 11 лет 9 месяцев,13
опыт работы 4 года 9 месяцев сентябрь 2014 — по настоящее время 4 года 9 месяцев,13
опыт работы 2 года 6 месяцев декабрь 2016 — по настоящее время 2 года 6 месяцев ,13
опыт работы 3 года 6 месяцев декабрь 2015 — по настоящее время 3 года 6 месяцев ,11
опыт работы 3 года 8 месяцев октябрь 2015 — по настоящее время 3 года 8 месяцев ,10
опыт работы 2 года 10 месяцев август 2016 — по настоящее время 2 года 10 месяцев,10
опыт работы 10 лет 10 месяцев август 2008 — по настоящее время 10 лет 10 месяцев,10
опыт работы 4 года 8 месяцев октябрь 2014 — по настоящее время 4 года 8 месяцев ,9
опыт работы 12 лет 10 месяцев август 2006 — по настоящее время 12 лет 10 месяцев,7
опыт работы 10 лет 9 месяцев сентябрь 2008 — по настоящее время 10 лет 9 месяцев,7
опыт работы 10 лет 8 месяцев октябрь 2008 — по настоящее время 10 лет 8 месяцев ,6
опыт работы 14 лет 10 месяцев август 2004 — по настоящее время 14 лет 10 месяцев,6
опыт работы 1 год 9 месяцев сентябрь 2017 — по настоящее время 1 год 9 месяцев о,5
опыт работы 16 лет 10 месяцев август 2002 — по настоящее время 16 лет 10 месяцев,5
опыт работы 2 года 5 месяцев январь 2017 — по настоящее время 2 года 5 месяцев и,5
опыт работы 4 года 5 месяцев январь 2015 — по настоящее время 4 года 5 месяцев и,5
опыт работы 11 лет 8 месяцев октябрь 2007 — по настоящее время 11 лет 8 месяцев ,5
опыт работы 1 год 10 месяцев август 2017 — по настоящее время 1 год 10 месяцев а,5
опыт работы 5 лет 9 месяцев сентябрь 2016 — по настоящее время 2 года 9 месяцев ,5
опыт работы 4 года 6 месяцев декабрь 2014 — по настоящее время 4 года 6 месяцев ,5
опыт работы 1 год 9 месяцев сентябрь 2017 — по настоящее время 1 год 9 месяцев с,5
опыт работы 11 лет 6 месяцев декабрь 2007 — по настоящее время 11 лет 6 месяцев ,5
опыт работы 12 лет 8 месяцев октябрь 2006 — по настоящее время 12 лет 8 месяцев ,5
опыт работы 11 лет 5 месяцев январь 2008 — по настоящее время 11 лет 5 месяцев о,4
опыт работы 2 года 5 месяцев сентябрь 2017 — по настоящее время 1 год 9 месяцев ,4
