split,supercategory,rows
test,backend_general_dev,176
test,technical_specialized,102
test,sysadmin_devops_network,79
test,web_frontend,62
test,tech_support_helpdesk,32
test,project_product,25
test,generic_it_ops,18
test,it_governance_leadership,13
train,backend_general_dev,822
train,technical_specialized,474
train,sysadmin_devops_network,367
train,web_frontend,290
train,tech_support_helpdesk,146
train,project_product,118
train,generic_it_ops,83
train,it_governance_leadership,63
val,backend_general_dev,176
val,technical_specialized,102
val,sysadmin_devops_network,79
val,web_frontend,63
val,tech_support_helpdesk,31
val,project_product,25
val,generic_it_ops,17
val,it_governance_leadership,14
