display_name,model_name,accuracy,macro_f1,worst_gap,macro_gap,overall_flip_rate
Baseline,bert_9classes_final,0.609,0.621,0.329,0.116,0.0771324863883847
GroupDRO η=0.1,bert_gdro_eta01_2ep,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,0.1157894736842105
Focal Loss,bert_focal_loss,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.0689655172413793
Label Smoothing,bert_label_smoothing,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,0.1072595281306715
Adversarial Debiasing,bert_adversarial,0.574410163339383,0.5942314793308253,0.4294117647058823,0.1318339214899944,
Data Scrubbing,bert_scrubbing,0.5941923774954628,0.6105665172611873,0.3,0.112077201852525,0.0
Attribution Regularization,bert_attr_reg,0.5833030852994555,0.6011648284423201,0.3352941176470588,0.116298341172635,
Oversampling,bert_oversample_only,0.6005444646098004,0.611462531934235,0.3583333333333333,0.1348910006569772,0.1003629764065335
Combined Best,combined_scrubbing_groupdro,0.5764065335753176,0.5971173664042575,,,0.0
Combined Scrub + GroupDRO,bert_debiased_combo,0.4882032667876588,0.4807757968361364,0.4058823529411764,0.1377640289446923,0.0
