city_group,n,accuracy
Минск,31,1.0
Алматы,67,0.9701
Барнаул,21,0.7143
Уфа,84,0.7024
Калининград,23,0.6957
Екатеринбург,89,0.6854
Симферополь,18,0.6667
Владивосток,21,0.6667
Иркутск,33,0.6667
Ставрополь,27,0.6667
Пенза,20,0.65
Волгоград,25,0.64
Москва,1842,0.6374
Томск,41,0.6341
Хабаровск,26,0.6154
Красноярск,49,0.6122
Санкт-Петербург,568,0.5986
Воронеж,72,0.5972
Кемерово,22,0.5909
Челябинск,29,0.5862
Other,1312,0.5808
Оренбург,31,0.5806
Ростов-на-Дону,76,0.5789
Казань,103,0.5728
Краснодар,158,0.5696
Новосибирск,126,0.5635
Липецк,25,0.56
Калуга,18,0.5556
Пермь,56,0.5536
Саратов,33,0.5455
Самара,107,0.5421
Тюмень,47,0.5319
Ярославль,48,0.5208
Нижний Новгород,83,0.5181
Тольятти,30,0.5
Омск,45,0.4889
Набережные Челны,21,0.4762
Ижевск,19,0.4737
Сочи,22,0.4545
Тверь,22,0.4545
Ульяновск,20,0.4
