figure,panel,df_index
ig_baseline_panel_cities,moscow_ok,3
ig_baseline_panel_cities,moscow_err,2
ig_baseline_panel_cities,small_ok,144
ig_baseline_panel_cities,small_err,215
ig_baseline_panel_gender,male_ok,0
ig_baseline_panel_gender,male_err,27
ig_baseline_panel_gender,female_ok,49
ig_baseline_panel_gender,female_err,127
ig_baseline_panel_age,age_22_25_err,575
ig_baseline_panel_age,age_36_50_err,32
ig_baseline_panel_age,age_50p_err,404
ig_baseline_panel_age,age_young_err,1019
ig_baseline_panel_professions,be_err,73
ig_baseline_panel_professions,fe_err,30
ig_baseline_panel_professions,sys_err,34
ig_baseline_panel_professions,sup_err,153
ig_baseline_panel_regions,spb_err,195
ig_baseline_panel_regions,ekb_err,343
ig_baseline_panel_regions,kzn_err,154
ig_baseline_panel_regions,other_err,85
