model,panel,df_index
scrubbing,moscow_error,2
scrubbing,female_slice,116
scrubbing,city_metadata_echo,1274
scrubbing,age_surface_form,1820
gdro,moscow_error,2
gdro,female_slice,127
gdro,city_metadata_echo,1386
gdro,age_surface_form,3336
focal,moscow_error,2
focal,female_slice,127
focal,city_metadata_echo,2692
focal,age_surface_form,3538
label_smooth,moscow_error,2
label_smooth,female_slice,116
label_smooth,city_metadata_echo,5419
label_smooth,age_surface_form,5267
debiased,moscow_error,2
debiased,female_slice,100
debiased,city_metadata_echo,1336
debiased,age_surface_form,4446
oversample,moscow_error,2
oversample,female_slice,116
oversample,city_metadata_echo,2371
oversample,age_surface_form,201
