df_index,compare_note,model,cos_vs_baseline_intersection,overlap_n
0,fine_label_substring_in_body,scrubbing,0.5468674174658978,24
0,fine_label_substring_in_body,gdro,0.3138133605419001,24
0,fine_label_substring_in_body,focal,0.02468263111113256,24
0,fine_label_substring_in_body,label_smooth,0.5426903637615257,24
0,fine_label_substring_in_body,debiased,-0.13898699230949957,24
0,fine_label_substring_in_body,oversample,0.8095077300072638,24
2,city_group_toponym_in_text,scrubbing,0.5954586620095169,26
2,city_group_toponym_in_text,gdro,-0.5459056213852196,26
2,city_group_toponym_in_text,focal,0.5269406543385257,26
2,city_group_toponym_in_text,label_smooth,-0.09946364508202675,26
2,city_group_toponym_in_text,debiased,0.059807633173469175,26
2,city_group_toponym_in_text,oversample,0.6563373146950284,26
3,city_group_toponym_in_text,scrubbing,-0.23316183022550654,27
3,city_group_toponym_in_text,gdro,-0.1984349957958542,27
3,city_group_toponym_in_text,focal,0.1268484797241054,27
3,city_group_toponym_in_text,label_smooth,-0.029663636732353886,27
3,city_group_toponym_in_text,debiased,-0.21624421557523776,27
3,city_group_toponym_in_text,oversample,0.08092010218377894,27
11,city_group_toponym_in_text,scrubbing,0.7559729209090146,24
11,city_group_toponym_in_text,gdro,0.9324376616915728,24
11,city_group_toponym_in_text,focal,0.9714045191095868,24
11,city_group_toponym_in_text,label_smooth,0.8826506306434532,24
11,city_group_toponym_in_text,debiased,0.8914947666308766,24
11,city_group_toponym_in_text,oversample,0.910201437847544,24
18,city_group_toponym_in_text,scrubbing,0.9710595846525153,25
18,city_group_toponym_in_text,gdro,0.9817604252050393,25
18,city_group_toponym_in_text,focal,0.9801937492002892,25
18,city_group_toponym_in_text,label_smooth,0.9814838834129096,25
18,city_group_toponym_in_text,debiased,0.9786195618683471,25
18,city_group_toponym_in_text,oversample,0.9707722735572891,25
