display_name,model_name,accuracy,macro_f1,worst_gap,macro_gap,overall_flip_rate
Baseline,bert_9classes_final,0.609,0.621,0.329,0.116,0.077
GroupDRO η=0.1,bert_gdro_eta01_2ep,0.548,0.553,0.265,0.113,0.116
Focal Loss,bert_focal_loss,0.593,0.613,0.329,0.136,0.069
Label Smoothing,bert_label_smoothing,0.596,0.608,0.329,0.14,0.107
Adversarial Debiasing,bert_adversarial,0.574,0.594,0.429,0.132,
Data Scrubbing,bert_scrubbing,0.594,0.611,0.3,0.112,0.0
Attribution Regularization,bert_attr_reg,0.583,0.601,0.335,0.116,
Oversampling,bert_oversample_only,0.601,0.611,0.358,0.135,0.1
Combined Best,combined_scrubbing_groupdro,0.576,0.597,,,0.0
Combined Scrub + GroupDRO,bert_debiased_combo,0.488,0.481,0.406,0.138,0.0
