row_id,track,family_group,method_group,source_block,model_name,display_name,method,seed,accuracy,macro_f1,worst_gap,macro_gap,overall_flip_rate,model_dir,summary_source,track_order,family_order
1,main,baseline,baseline,main,bert_9classes_final,Baseline,Baseline BERT + sqrt_rw,,0.609,0.621,0.329,0.116,0.07713248638838476,bert_9classes_final,notebooks/results/city_swap_all/city_swap_all_models.json,0,0
2,main,groupdro,groupdro,main,bert_gdro_eta01_2ep,GroupDRO η=0.1,"GroupDRO eta=0.1 + sqrt_rw, 2ep",,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,0.11578947368421053,bert_gdro_eta01_2ep,notebooks/results/city_swap_all/city_swap_all_models.json,0,1
3,main,focal,focal,main,bert_focal_loss,Focal Loss,Focal Loss gamma=2.0 + sqrt_rw,,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.06896551724137931,bert_focal_loss,notebooks/results/city_swap_all/city_swap_all_models.json,0,2
10,main,label_smoothing,label_smoothing,main,bert_label_smoothing,Label Smoothing,Label Smoothing ε=0.1 + sqrt_rw,,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,0.10725952813067151,bert_label_smoothing,notebooks/results/city_swap_all/city_swap_all_models.json,0,3
16,main,adversarial,adversarial,main,bert_adversarial,Adversarial Debiasing,Adversarial Debiasing α=0.5 + sqrt_rw,,0.574410163339383,0.5942314793308253,0.4294117647058823,0.13183392148999445,,bert_adversarial,notebooks/results/city_swap_all/city_swap_all_models.json,0,4
17,main,scrubbing,scrubbing,main,bert_scrubbing,Data Scrubbing,Data Scrubbing + sqrt_rw,,0.5941923774954628,0.6105665172611873,0.30000000000000004,0.11207720185252505,0.0,bert_scrubbing,notebooks/results/city_swap_all/city_swap_all_models.json,0,5
18,main,attr_reg,attr_reg,main,bert_attr_reg,Attribution Regularization,Attribution Regularization (attention) λ=0.1 + sqrt_rw,,0.5833030852994555,0.6011648284423201,0.33529411764705885,0.11629834117263504,,bert_attr_reg,notebooks/results/city_swap_all/city_swap_all_models.json,0,6
19,main,oversampling,oversampling,main,bert_oversample_only,Oversampling,oversampling + sqrt_reweight (NO GroupDRO),,0.6005444646098004,0.611462531934235,0.3583333333333333,0.13489100065697723,0.10036297640653358,bert_oversample_only,notebooks/results/city_swap_all/city_swap_all_models.json,0,7
20,main,combined,combined,main,combined_scrubbing_groupdro,Combined Best,Combined Best,,0.5764065335753176,0.5971173664042575,,,0.0,combined_scrubbing_groupdro,notebooks/results/city_swap_all/city_swap_all_models.json,0,8
21,main,combined,combined,main,bert_debiased_combo,Combined Scrub + GroupDRO,sqrt_reweight + oversampling + GroupDRO,,0.4882032667876588,0.4807757968361364,0.4058823529411764,0.1377640289446923,0.0,bert_debiased_combo,notebooks/results/city_swap_all/city_swap_all_models.json,0,8
