model_name,accuracy_unified,macro_f1_unified,worst_gap_unified,macro_gap_unified,overall_flip_rate_unified,display_name,accuracy_fairness_csv,macro_f1_fairness_csv,worst_gap_fairness_csv,macro_gap_fairness_csv,overall_flip_rate_fairness_csv,delta_accuracy,delta_macro_f1,delta_worst_gap,delta_macro_gap,delta_overall_flip_rate
bert_9classes_final,0.609,0.621,0.329,0.116,0.07713248638838476,Baseline,0.609,0.621,0.329,0.116,0.0771324863883847,0.0,0.0,0.0,0.0,5.551115123125783e-17
bert_gdro_eta01_2ep,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,0.11578947368421053,GroupDRO η=0.1,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,0.1157894736842105,0.0,0.0,0.0,0.0,2.7755575615628914e-17
bert_focal_loss,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.06896551724137931,Focal Loss,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.0689655172413793,0.0,0.0,0.0,0.0,1.3877787807814457e-17
bert_label_smoothing,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,0.10725952813067151,Label Smoothing,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,0.1072595281306715,0.0,0.0,0.0,0.0,1.3877787807814457e-17
bert_adversarial,0.574410163339383,0.5942314793308253,0.4294117647058823,0.13183392148999445,,Adversarial Debiasing,0.574410163339383,0.5942314793308253,0.4294117647058823,0.1318339214899944,,0.0,0.0,0.0,5.551115123125783e-17,
bert_scrubbing,0.5941923774954628,0.6105665172611873,0.30000000000000004,0.11207720185252505,0.0,Data Scrubbing,0.5941923774954628,0.6105665172611873,0.3,0.112077201852525,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0
bert_attr_reg,0.5833030852994555,0.6011648284423201,0.33529411764705885,0.11629834117263504,,Attribution Regularization,0.5833030852994555,0.6011648284423201,0.3352941176470588,0.116298341172635,,0.0,0.0,5.551115123125783e-17,4.163336342344337e-17,
bert_oversample_only,0.6005444646098004,0.611462531934235,0.3583333333333333,0.13489100065697723,0.10036297640653358,Oversampling,0.6005444646098004,0.611462531934235,0.3583333333333333,0.1348910006569772,0.1003629764065335,0.0,0.0,0.0,2.7755575615628914e-17,8.326672684688674e-17
combined_scrubbing_groupdro,0.5764065335753176,0.5971173664042575,,,0.0,Combined Best,0.5764065335753176,0.5971173664042575,,,0.0,0.0,0.0,,,0.0
bert_debiased_combo,0.4882032667876588,0.4807757968361364,0.4058823529411764,0.1377640289446923,0.0,Combined Scrub + GroupDRO,0.4882032667876588,0.4807757968361364,0.4058823529411764,0.1377640289446923,0.0,0.0,0.0,0.0,0.0,0.0
