row_id,track,family_group,method_group,source_block,model_name,display_name,method,seed,accuracy,macro_f1,worst_gap,macro_gap,overall_flip_rate,model_dir,summary_source,track_order,family_order
1,main,baseline,baseline,main,bert_9classes_final,Baseline,Baseline BERT + sqrt_rw,,0.609,0.621,0.329,0.116,0.07713248638838476,bert_9classes_final,notebooks/results/city_swap_all/city_swap_all_models.json,0,0
2,main,groupdro,groupdro,main,bert_gdro_eta01_2ep,GroupDRO η=0.1,"GroupDRO eta=0.1 + sqrt_rw, 2ep",,0.5477313974591651,0.552505752091434,0.2647058823529411,0.1129547238136067,0.11578947368421053,bert_gdro_eta01_2ep,notebooks/results/city_swap_all/city_swap_all_models.json,0,1
3,main,focal,focal,main,bert_focal_loss,Focal Loss,Focal Loss gamma=2.0 + sqrt_rw,,0.5925589836660617,0.6134318484078286,0.3294117647058824,0.1356819274341358,0.06896551724137931,bert_focal_loss,notebooks/results/city_swap_all/city_swap_all_models.json,0,2
4,challenger,focal,focal,challenger,focal_gamma1_2ep,focal_gamma1_2ep,Focal Loss + sqrt_rw,,0.6041742286751361,0.6191096286531808,0.3235294117647058,0.1336767887659292,,notebooks/models/challengers/focal_gamma1_2ep,figures/challengers/c02_focal_tuning_summary.csv,1,2
5,challenger,focal,focal,challenger,focal_gamma3_2ep,focal_gamma3_2ep,Focal Loss + sqrt_rw,,0.6003629764065336,0.6170633941368242,0.3470588235294117,0.1425726322008903,,notebooks/models/challengers/focal_gamma3_2ep,figures/challengers/c02_focal_tuning_summary.csv,1,2
6,challenger,focal,focal,challenger,focal_gamma20_3ep,focal_gamma20_3ep,Focal Loss + sqrt_rw,,0.6061705989110708,0.6154713000093408,0.3,0.1458787929494712,,models/challengers/focal_gamma20_3ep,figures/challengers/c02_focal_gamma_tuning_summary.csv,1,2
7,challenger,focal,focal,challenger,focal_gamma2_2ep,focal_gamma2_2ep,Focal Loss + sqrt_rw,,0.5963702359346642,0.6142637601745481,0.3705882352941176,0.1343826181545259,,notebooks/models/challengers/focal_gamma2_2ep,figures/challengers/c02_focal_tuning_summary.csv,1,2
8,challenger,focal,focal,challenger,focal_gamma10_3ep,focal_gamma10_3ep,Focal Loss + sqrt_rw,,0.6049001814882032,0.612762085788582,0.3647058823529412,0.1279386402876275,,models/challengers/focal_gamma10_3ep,figures/challengers/c02_focal_gamma_tuning_summary.csv,1,2
9,challenger,focal,focal,challenger,focal_gamma15_3ep,focal_gamma15_3ep,Focal Loss + sqrt_rw,,0.6063520871143375,0.6127601075298852,0.3117647058823529,0.1388057323857813,,models/challengers/focal_gamma15_3ep,figures/challengers/c02_focal_gamma_tuning_summary.csv,1,2
10,main,label_smoothing,label_smoothing,main,bert_label_smoothing,Label Smoothing,Label Smoothing ε=0.1 + sqrt_rw,,0.5961887477313974,0.6080545461159175,0.3294117647058824,0.139536811744611,0.10725952813067151,bert_label_smoothing,notebooks/results/city_swap_all/city_swap_all_models.json,0,3
